TestId,TestStatus,serial.port,comport_binding,operationmode,interface,ser.baudrate,ser.bytesize,ser.parity,ser.stopbits,ser.xonxoff,ser.rtscts,ser.dsrdtr,host,tcp.port,packet.length,iterations,FileSend
10,FALSE,COM5,data1,rawtcpserver,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
11,FALSE,COM5,data1,rawtcpserver,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
12,FALSE,COM5,data1,rawtcpserver,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
13,FALSE,COM5,data1,rawtcpserver,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
14,FALSE,COM5,data1,rawtcpserver,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
15,FALSE,COM5,data1,rawtcpserver,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
16,FALSE,COM5,data1,rawtcpserver,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
1,FALSE,COM5,data1,rawtcpserver,rs232,75,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
2,FALSE,COM5,data1,rawtcpserver,rs232,110,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
3,FALSE,COM5,data1,rawtcpserver,rs232,134,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
4,FALSE,COM5,data1,rawtcpserver,rs232,150,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
5,FALSE,COM5,data1,rawtcpserver,rs232,200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
6,FALSE,COM5,data1,rawtcpserver,rs232,300,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
7,FALSE,COM5,data1,rawtcpserver,rs232,600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
8,FALSE,COM5,data1,rawtcpserver,rs232,1200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
9,FALSE,COM5,data1,rawtcpserver,rs232,1800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
10,FALSE,COM5,data1,rawtcpserver,rs232,2400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
11,FALSE,COM5,data1,rawtcpserver,rs232,4800,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
12,FALSE,COM5,data1,rawtcpserver,rs232,9600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
13,FALSE,COM5,data1,rawtcpserver,rs232,19200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
14,FALSE,COM5,data1,rawtcpserver,rs232,38400,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
15,FALSE,COM5,data1,rawtcpserver,rs232,57600,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
16,FALSE,COM5,data1,rawtcpserver,rs232,115200,8,none,1,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
17,FALSE,COM5,data1,rawtcpserver,rs232,75,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
18,FALSE,COM5,data1,rawtcpserver,rs232,110,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
19,FALSE,COM5,data1,rawtcpserver,rs232,134,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
20,FALSE,COM5,data1,rawtcpserver,rs232,150,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
21,FALSE,COM5,data1,rawtcpserver,rs232,200,7,odd,2,FALSE,FALSE,FALSE,10.117.64.2,5000,1024,1,filesend.txt
